epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,25728.1,0.30185,0.21548,0.84305,0.97208,0.96529,0.9857,0.94988,0.28382,0.15127,0.82981,0.00126604,0.00126604,0.00126604
180,25874.4,0.29969,0.21392,0.84263,0.97276,0.96506,0.98581,0.95003,0.28385,0.15119,0.82981,0.00124262,0.00124262,0.00124262
181,26011.4,0.30225,0.21138,0.84166,0.97274,0.96465,0.98568,0.9498,0.28384,0.15121,0.82982,0.00122025,0.00122025,0.00122025
182,26143.1,0.29739,0.21056,0.84054,0.97295,0.96516,0.98559,0.94986,0.28386,0.15126,0.82982,0.00119893,0.00119893,0.00119893
183,26279.9,0.29788,0.21137,0.84228,0.9732,0.96553,0.98566,0.94961,0.28383,0.1512,0.82982,0.00117868,0.00117868,0.00117868
184,26418.2,0.29781,0.20823,0.84133,0.97122,0.96736,0.98558,0.94944,0.2838,0.15108,0.82983,0.00115949,0.00115949,0.00115949
185,26564.6,0.29693,0.21004,0.84025,0.9714,0.96735,0.98559,0.94958,0.28375,0.1508,0.82985,0.00114138,0.00114138,0.00114138
186,26701.7,0.30008,0.20983,0.84138,0.97133,0.9673,0.98559,0.94943,0.2837,0.15077,0.82984,0.00112434,0.00112434,0.00112434
187,26843.4,0.2994,0.21043,0.84257,0.97165,0.9675,0.98532,0.94891,0.28368,0.15104,0.82983,0.00110837,0.00110837,0.00110837
188,26979.7,0.29507,0.2082,0.84001,0.97154,0.96841,0.98485,0.94829,0.28366,0.15122,0.82983,0.0010935,0.0010935,0.0010935
189,27128.4,0.29682,0.20924,0.84154,0.97138,0.96839,0.98501,0.94866,0.28362,0.15123,0.82982,0.00107971,0.00107971,0.00107971
190,27266.2,0.29666,0.21045,0.84138,0.97193,0.96818,0.98496,0.9487,0.28361,0.15112,0.82984,0.00106701,0.00106701,0.00106701
191,27402.7,0.29773,0.21099,0.84023,0.97147,0.96841,0.98464,0.94901,0.28367,0.15112,0.82988,0.0010554,0.0010554,0.0010554
192,27539.3,0.29622,0.21128,0.84095,0.97164,0.96847,0.98477,0.94939,0.28361,0.15086,0.82986,0.00104489,0.00104489,0.00104489
193,27705.8,0.29415,0.20698,0.83986,0.9718,0.96851,0.98433,0.94893,0.28368,0.15084,0.82991,0.00103548,0.00103548,0.00103548
194,27841.2,0.29544,0.20666,0.84015,0.97173,0.96864,0.98464,0.94906,0.28366,0.15079,0.82991,0.00102718,0.00102718,0.00102718
195,27969.6,0.29702,0.21146,0.84159,0.97142,0.96864,0.98443,0.94887,0.28364,0.15095,0.82993,0.00101997,0.00101997,0.00101997
196,28135.5,0.25363,0.13041,0.82287,0.97129,0.96858,0.98482,0.94943,0.28356,0.15103,0.82991,0.00101387,0.00101387,0.00101387
197,28263,0.24987,0.12879,0.82058,0.97118,0.96842,0.98469,0.94924,0.28355,0.15098,0.8299,0.00100888,0.00100888,0.00100888
198,28398,0.24718,0.12833,0.81987,0.97102,0.96865,0.98478,0.94992,0.28352,0.1507,0.82987,0.001005,0.001005,0.001005
199,28540.8,0.24661,0.12657,0.82161,0.97089,0.96858,0.98467,0.94987,0.28349,0.15083,0.82989,0.00100222,0.00100222,0.00100222
200,28675.6,0.24531,0.12497,0.81998,0.97053,0.96864,0.98441,0.94932,0.28348,0.1508,0.8299,0.00100056,0.00100056,0.00100056
