epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17601.5,0.29416,0.216,0.82913,0.96188,0.95543,0.98411,0.96681,0.20779,0.11083,0.77087,0.00909858,0.00909858,0.00909858
43,18038.6,0.29156,0.21514,0.82781,0.95937,0.95773,0.98254,0.96407,0.20738,0.1104,0.77069,0.0090557,0.0090557,0.0090557
44,18440.1,0.29128,0.21324,0.82829,0.96438,0.95554,0.98428,0.96622,0.2068,0.10998,0.77054,0.00901194,0.00901194,0.00901194
45,18842.6,0.28961,0.21248,0.82729,0.9533,0.96476,0.98327,0.96549,0.20679,0.10981,0.77056,0.00896731,0.00896731,0.00896731
46,19259.9,0.28856,0.21318,0.82696,0.96423,0.95553,0.98344,0.9665,0.20678,0.11002,0.7705,0.00892183,0.00892183,0.00892183
47,19749.7,0.28763,0.21146,0.82674,0.96164,0.95676,0.98329,0.96601,0.20663,0.10959,0.77045,0.0088755,0.0088755,0.0088755
48,20257.9,0.28396,0.20772,0.82514,0.95796,0.95996,0.98341,0.9659,0.20624,0.10931,0.7703,0.00882834,0.00882834,0.00882834
49,20668.9,0.28563,0.20845,0.82602,0.95229,0.96609,0.98367,0.96662,0.20591,0.1088,0.77022,0.00878036,0.00878036,0.00878036
50,21068,0.28468,0.20905,0.82671,0.95165,0.96701,0.98298,0.96679,0.20559,0.10842,0.77012,0.00873157,0.00873157,0.00873157
51,21473.1,0.28425,0.20801,0.82571,0.95922,0.96034,0.98311,0.96566,0.20532,0.10811,0.77002,0.00868198,0.00868198,0.00868198
52,21879.2,0.28204,0.20543,0.82429,0.95554,0.9633,0.98361,0.96626,0.20507,0.10798,0.76994,0.00863161,0.00863161,0.00863161
53,22280.1,0.28126,0.20865,0.82497,0.95545,0.96473,0.98371,0.96635,0.2048,0.10788,0.76987,0.00858046,0.00858046,0.00858046
54,22679.4,0.27917,0.20436,0.82416,0.9556,0.96452,0.98366,0.96673,0.20461,0.108,0.76984,0.00852856,0.00852856,0.00852856
55,23141.2,0.28085,0.20642,0.82467,0.95031,0.97003,0.98323,0.96637,0.2044,0.10783,0.7698,0.0084759,0.0084759,0.0084759
56,23556.9,0.2786,0.20337,0.82407,0.95286,0.969,0.98414,0.96782,0.20423,0.10781,0.76976,0.00842252,0.00842252,0.00842252
57,23956.6,0.27874,0.20444,0.82455,0.95365,0.96723,0.98284,0.96651,0.204,0.1078,0.76973,0.00836841,0.00836841,0.00836841
58,24354.3,0.27634,0.20116,0.82325,0.95265,0.96759,0.98418,0.96625,0.20344,0.10744,0.76975,0.00831359,0.00831359,0.00831359
59,24752.9,0.27631,0.20137,0.82332,0.95529,0.96481,0.98411,0.96614,0.20322,0.1073,0.7697,0.00825808,0.00825808,0.00825808
60,25159.6,0.27428,0.20019,0.82292,0.96012,0.96042,0.98431,0.96556,0.20305,0.10714,0.76966,0.00820189,0.00820189,0.00820189
61,25561.5,0.27258,0.19981,0.82249,0.96155,0.9594,0.98321,0.96468,0.20288,0.10702,0.7696,0.00814503,0.00814503,0.00814503
62,25966.7,0.27162,0.19812,0.82203,0.96044,0.9594,0.98306,0.96591,0.20266,0.10698,0.76954,0.00808752,0.00808752,0.00808752
63,26374.7,0.27224,0.19905,0.82328,0.95941,0.96027,0.98285,0.96578,0.20251,0.10672,0.76948,0.00802938,0.00802938,0.00802938
